name,group,city,state,iata,latitude,longitude
Shuo Jiao,10510265,Sunnyvale,California,323,37.3688889,-122.0352778
Munjal Shah,10510265,Los Altos,California,324,37.3852778,-122.1130556
Alexander T. Huynh,10510266,Sunnyvale,California,325,37.3688889,-122.0352778
Anthony M. Jarc,10510267,Sunnyvale,California,326,37.3688889,-122.0352778
Joey Chau,10510267,Cupertino,California,327,37.3230556,-122.0311111
Brian E. Miller,10510267,Los Gatos,California,328,37.2266667,-121.9736111
Kenneth J Malachowsky,10510269,Florence,South Carolina,329,34.1952778,-79.7627778
Martha Patricia Wild,10510270,Duluth,Georgia,330,34.0027778,-84.1447222
Jessica Darlene Watkins,10510270,White Pine,Tennessee,331,36.1075,-83.2869444
David S. Smith,10510273,Fitchburg,Massachusetts,332,42.5833333,-71.8027778
David L. Schuttler,10510273,Townsend,Massachusetts,333,42.6666667,-71.7055556
"Charles J. Burout, III",10510273,Bedford,New Hampshire,334,42.9463889,-71.5163889
